club,games_played,wins,loses,ties,goals_for,goals_against,goal_difference,points
ATL,34,15,9,10,70,40,30,55
CHI,34,16,11,7,61,47,14,55
COL,34,9,19,6,31,51,-20,33
CLB,34,16,12,6,53,49,4,54
DC,34,9,20,5,31,60,-29,32
DAL,34,11,10,13,48,48,0,46
HOU,34,13,10,11,57,45,12,50
KC,34,12,9,13,40,29,11,49
LA,34,8,18,8,45,67,-22,32
MNUFC,34,10,18,6,47,70,-23,36
MTL,34,11,17,6,52,58,-6,39
NE,34,13,15,6,53,61,-8,45
NYCFC,34,16,9,9,56,43,13,57
NYRB,34,14,12,8,53,47,6,50
ORL,34,10,15,9,39,58,-19,39
POR,34,15,11,8,60,50,10,53
PHI,34,11,14,9,50,47,3,42
RSL,34,13,15,6,49,55,-6,45
SJ,34,13,14,7,39,60,-21,46
SEA,34,14,9,11,52,39,13,53
TOR,34,20,5,9,74,37,37,69
VAN,34,15,12,7,50,49,1,52
